File,Channel,Nuclei,x,y,z,Value,FWHM,SNR,NSNR,Label
1,Cy5,3,137.358,411.276,29.436,4.134,3.04,19.287,4.612,2
1,Cy5,3,142,414,33,1.741,3.223,31.723,2.947,2
1,Cy5,3,160.737,418.628,33.434,1.06,2.732,16.517,1.994,2
1,Cy5,3,161.141,386.251,27.426,4.076,2.792,30.277,4.909,1
1,Cy5,3,157.174,391.126,26.567,1.245,2.715,2.224,2.316,1
1,Cy5,3,142,386,33,3.172,3.087,21.529,4.258,1
1,Cy5,3,165.325,351.691,35.441,1.03,3.364,18.493,1.898,1
1,Cy5,5,254.112,567.035,31.355,6.013,2.632,57.126,6.025,1
1,Cy5,5,332.503,511.097,27.847,3.617,2.642,57.653,4.006,2
1,Cy5,5,336.159,519.687,42.578,2.894,2.847,13.972,3.426,2
1,Cy5,5,256,565,23,2.546,2.956,18.181,3.16,1
1,Cy5,5,281.666,557.575,32.959,2.288,2.69,36.09,2.828,1
1,Cy5,5,329.019,518.821,38.032,1.241,2.052,10.983,2.021,2
1,Cy5,5,340.891,524.585,31.533,1.083,2.512,23.986,1.821,2
1,Cy5,6,284.103,856.101,33.794,5.939,2.889,51.989,5.881,2
1,Cy5,6,323.491,773.755,22.02,5.829,2.975,51.499,5.118,1
1,Cy5,6,292.802,857.982,32.907,3.881,2.685,35.744,4.087,2
1,Cy5,6,309.034,780.409,22.243,2.955,2.864,28.244,3.124,1
1,Cy5,6,277.935,861.608,31.963,2.213,2.821,12.199,2.93,2
1,Cy5,6,276.665,868.192,30.792,1.945,2.533,5.7,2.754,2
1,Cy5,6,338.887,804.913,32.83,1.714,2.706,44.533,2.331,1
1,Cy5,12,466.212,315.744,26.478,7.751,3.029,37.016,7.209,0
1,Cy5,12,468,315,30,3.373,3.601,8.082,4.047,0
1,Cy5,12,469.488,345.24,31.364,2.927,2.889,28.52,3.475,0
1,Cy5,12,495.898,334.696,28.6,2.716,2.9,44.55,3.217,0
1,Cy5,12,490.906,317.257,27.632,2.295,2.642,27.722,2.967,0
1,Cy5,12,469.712,324.296,29.073,2.069,2.348,21.216,2.759,0
1,Cy5,12,468,310,30,1.966,3.441,1.704,2.658,0
1,Cy5,12,478.184,318.617,34.107,1.816,2.715,29.475,2.629,0
1,Cy5,12,448.377,334.322,30.232,1.122,2.536,14.328,1.752,0
1,Cy5,13,243.848,482.764,39.024,6.059,2.921,107.179,5.97,2
1,Cy5,13,214.899,503.641,25.943,2.57,2.698,29.079,3.123,1
1,Cy5,13,254.884,486.155,37.986,2.354,2.782,42.822,3.011,2
1,Cy5,13,257.718,475.61,37.815,1.953,2.721,30.603,2.611,2
1,Cy5,13,244,513,34,1.483,2.675,11.739,2.291,1
1,Cy5,13,257,466,35,1.165,2.218,21.439,1.892,2
1,Cy5,13,248,501,39,1.162,2.847,2.952,2.186,1
1,Cy5,13,255,500,32,0.935,2.986,11.419,1.746,1
1,Cy5,13,252,494,39,1.945,3.211,13.023,2.633,1
1,Cy5,14,519.872,804.251,32.431,4.243,2.934,62.44,4.649,2
1,Cy5,14,534.794,806.199,36.312,2.765,2.87,12.346,3.337,2
1,Cy5,14,472.265,849.088,36.72,2.521,2.814,37.621,3.466,0
1,Cy5,14,430.634,840.079,35.926,2.309,2.922,21.513,2.982,1
1,Cy5,14,428.573,864.717,36.023,2.179,3.198,23.024,2.826,1
1,Cy5,14,429,865,37,2.179,2.895,59.103,2.9,1
1,Cy5,14,433.637,846.903,30.44,2.033,2.899,4.861,2.852,1
1,Cy5,14,541.525,805.065,38.099,1.719,2.696,29.96,2.499,2
1,Cy5,14,503.291,783.717,28.267,1.377,2.917,17.742,2.054,0
1,Cy5,14,439.301,847.426,31.989,1.25,2.662,29.787,2.053,1
1,Cy5,15,255.804,681.541,26.995,3.891,2.77,34.546,3.8,2
1,Cy5,15,259.395,656.805,38.999,3.624,2.651,54.187,3.987,2
1,Cy5,15,201.794,643.596,40.1,2.322,2.782,19.807,2.846,1
