File,Channel,Nuclei,x,y,z,Value,FWHM,SNR,NSNR,Label
1,Cy5,2,142.9340564,882.0058038,20.75700108,5.041403877,2.954102586,33.59531107,3.143219018,1
1,Cy5,2,179.8307716,873.487186,14.16331554,3.53650438,2.738949574,26.38252724,2.612236945,1
1,Cy5,2,179.8307716,873.487186,14.16331555,3.53650438,2.567092968,46.34432499,2.801636789,1
1,Cy5,2,233.1990354,866.9821215,13.54324902,2.201506982,2.585777747,17.25882194,2.026695246,2
1,Cy5,2,159.9964465,912.4409158,11.43702199,2.085079747,2.654285525,17.94426648,1.827552611,1
1,Cy5,3,245.1500338,139.3597184,12.00977138,4.639005891,2.902774948,23.75529682,3.079798443,1
1,Cy5,3,214.9888001,194.0657858,24.23008074,4.191033597,2.59974181,35.7231458,3.175629867,2
1,Cy5,3,227.5953442,184.3205088,11.59254329,3.639172921,2.799335305,15.15824485,2.720842877,2
1,Cy5,3,201.3810678,192.6673011,21.26255418,2.416534051,2.754262212,26.70850585,2.091800275,2
1,Cy5,4,295.2451299,717.5310516,10.95187867,4.958842795,2.768184386,26.96733562,2.627920822,2
1,Cy5,4,290.2080685,719.4954932,14.96578855,4.83022753,2.505237471,24.40902928,2.759785682,2
1,Cy5,4,293.0926985,736.4167154,14.24065046,4.773484613,2.650004874,8.471573373,2.584461974,2
1,Cy5,4,256.3397943,672.8800753,15.0605108,2.748197002,2.63949698,10.95640874,2.137520464,1
1,Cy5,4,293.8172279,675.1881282,12.06502961,2.514071525,2.739267067,22.73464372,2.069504391,1
1,Cy5,4,259.0323753,692.1691966,10.52854927,2.081486888,2.276888541,15.56013328,2.004316118,1
1,Cy5,5,376.3625654,620.8680697,10.88293327,9.647011028,2.996229592,149.6773783,3.910661548,1
1,Cy5,5,356.8399469,620.3476706,15.00721754,7.489603555,2.941567846,24.35819846,3.599232132,1
1,Cy5,5,309.4496056,667.4252125,20.01387926,3.176349609,2.333204403,19.59953133,1.848936799,2
1,Cy5,5,355.6467462,631.2714506,17.12601372,2.51691611,3.268167373,9.785011738,2.109421146,1
1,Cy5,6,363.5835352,450.0210813,11.57213026,4.838439141,2.878825119,17.58900354,3.484951732,1
1,Cy5,6,372.8206025,436.2066129,17.73836738,4.75552625,2.845268944,27.06419629,3.639977286,1
1,Cy5,6,340.1550992,441.7237174,17.57921042,2.736611892,2.651877959,13.22002801,2.051485898,1
