File,Channel,Nuclei,x,y,z,Value,FWHM,SNR,NSNR,Label,dilation,lamin_dist,lamin_dist_norm,centr_dist,centr_dist_norm,xnorm,ynorm,znorm
1,Cy5,2,107.729572,645.635508,34.27565077,4.729697515,2.863370879,46.73274654,4.185153091,1,5,3027.537566,0.580710398,2186.003798,0.419289602,-0.582829276,0.276812276,-0.03421006
1,Cy5,2,174.9818457,647.7027915,36.17660219,4.260585129,2.760742188,61.83101215,4.03090699,2,5,4391.557136,0.847383981,790.9097207,0.152616019,0.160971486,-0.169074371,0.020102838
1,Cy5,2,99,641,34.48731306,3.804447027,3.056275968,35.67934295,3.714326979,1,5,2120.217509,0.409997908,3051.04588,0.590002092,-0.700145271,0.263197067,-0.028162566
1,Cy5,2,95,644,32,1.465600032,3.419031053,1.330590386,2.071923744,1,5,1578.131807,0.302922521,3631.55614,0.697077479,-0.729533433,0.340841736,-0.099228654
1,Cy5,2,96,643,32,1.402481108,3.78695635,2.427668609,2.287983824,1,5,1721.540008,0.331311735,3474.593501,0.668688265,-0.723375272,0.317337939,-0.099228654
1,Cy5,2,171.54171,626.7672453,27.21409746,1.397748542,3.113747354,14.36383192,1.896591566,2,5,2038.566451,0.394180775,3133.09731,0.605819225,0.02386757,-0.48726069,-0.235968726
1,Cy5,4,101.6826173,205.063749,40.06162078,4.571490556,3.060923769,68.75888301,4.891289894,1,5,3257.721671,0.583836843,2322.100726,0.416163157,-0.469291086,-0.325734424,0.072909973
1,Cy5,4,62.58534353,228.9886134,38.80337639,3.05373206,2.825176938,42.44815783,3.354055851,2,5,1271.28366,0.228807223,4284.785272,0.771192777,-0.678324648,0.404302273,0.036960134
1,Cy5,4,95.60589971,243.9100095,34.29578098,2.597312396,2.69591394,26.90022167,3.049867021,2,5,4772.304624,0.854514868,812.5132758,0.145485132,-0.209985676,0.25345495,-0.091828306
1,Cy5,4,92.67843806,183.4725632,36.05369842,2.521014557,3.005455761,9.88467121,3.073803191,1,5,737.7271738,0.127596664,5044.096712,0.872403336,-0.742552195,-0.516912005,-0.041602094
1,Cy5,4,95.7650967,180.7962454,33.43060802,2.298288146,2.660972375,28.48105858,3.125332447,1,5,365.8435031,0.06336814,5407.410315,0.93663186,-0.732590827,-0.584987652,-0.116547534
1,Cy5,4,104.6745293,249.2415311,37.09952254,1.954165741,2.706222098,18.78452762,2.724401596,2,5,5287.477797,0.940206908,336.2399726,0.059793092,-0.071116118,0.228381531,-0.011721405
1,Cy5,5,155.9627637,463.5499615,37.10017114,4.304539229,2.878610711,55.72909992,4.184415584,1,5,879.7959675,0.170701185,4274.238006,0.829298815,-0.04587368,-0.445234605,0.029633001
1,Cy5,5,155.7523644,482.4800872,37.35063618,3.128628903,2.773271583,33.56712503,3.449675325,1,5,1512.02426,0.300219272,3524.312974,0.699780728,-0.024384009,-0.184192241,0.036789145
1,Cy5,5,135.2699295,465.866555,30.68403999,1.778866203,3.003159518,25.96494054,2.394480519,2,5,3176.124746,0.628220429,1879.64307,0.371779571,-0.237457842,-0.375748741,-0.153685032
1,Cy5,5,97.79849082,454.0926359,30.04765858,1.202437375,2.673047966,21.04567222,1.970779221,2,5,3508.820191,0.688592261,1586.778271,0.311407739,-0.604182303,-0.469806206,-0.171867358
1,Cy5,5,158,476,41,1.195305974,3.037938554,10.04891204,1.932467532,1,5,1177.200068,0.229384509,3954.794559,0.770615491,-0.011295473,-0.277503122,0.141056682
1,Cy5,6,932.2460294,336.0837993,32.74216156,6.362174605,2.943360301,70.95963753,5.546406338,2,5,1172.627125,0.252236988,3476.205946,0.747763012,0.128899251,-0.774603139,-0.064370565
1,Cy5,6,945.6791941,339.7291746,30.88300146,3.34078605,2.908489018,38.74741904,3.316072439,2,5,1434.475905,0.298037408,3378.66824,0.701962592,0.192848992,-0.821980128,-0.117489425
1,Cy5,6,950.3354105,358.0485399,26.54647714,1.98022696,2.649633938,23.53661515,2.551782683,2,5,3677.805602,0.615571411,2297.595724,0.384428589,0.283779827,-0.765774424,-0.241390119
1,Cy5,6,866.2140157,354.4203041,37.53899519,1.721271007,2.527618113,20.30968542,2.283531409,1,5,2207.05122,0.470182056,2486.941358,0.529817944,-0.039278401,-0.387331817,0.072681825
1,Cy5,6,919.8955436,328.1501539,37.43152125,1.412820535,3.363866914,16.34731355,1.823146576,2,5,856.0460281,0.185592268,3756.461192,0.814407732,0.051629961,-0.750556166,0.069611141
1,Cy5,6,917.5618382,329.582681,37.37387957,1.278972331,2.997644196,17.44495297,1.860780985,2,5,1145.51388,0.247392533,3484.823747,0.752607467,0.04884903,-0.733528723,0.067964236
1,Cy5,6,900.3412625,376.502691,32.65846213,1.24654487,3.083793875,8.087648657,1.751839276,1,5,3381.369012,0.732628509,1234.050516,0.267371491,0.174879145,-0.453098308,-0.066761977
1,Cy5,8,562.938412,604.750492,38.28079026,3.496530583,2.868599564,43.16321032,3.008064516,2,5,4329.458313,0.895631198,504.5068864,0.104368802,0.739047313,-0.231468292,0.056898695
1,Cy5,8,565.0086278,679.558788,38.19210808,2.954190278,3.13730927,18.79238506,2.72718894,1,5,1484.171133,0.307400759,3343.809143,0.692599241,1.014913489,-0.194137276,0.054364918
1,Cy5,8,563.0532321,682.8991097,34.1432681,2.839294638,3.041027196,6.964746508,2.523041475,1,5,1282.207832,0.26509388,3554.6215,0.73490612,1.026286981,-0.18202361,-0.061316224
1,Cy5,8,536.4989923,636.3270721,46.01607373,2.327707945,2.675339871,18.62121261,2.182488479,1,5,3763.925137,0.780925566,1055.913306,0.219074434,0.842894142,-0.076375714,0.277906794
1,Cy5,8,570.8865484,678.3821495,44.60026519,2.00360543,2.53514596,19.13142327,2.09078341,1,5,1050.650024,0.217994566,3769.056099,0.782005434,1.013300253,-0.224876029,0.237455122
1,Cy5,8,564.9091541,604.8693191,42.14611916,1.862573452,3.115203372,13.86737227,2.205299539,2,5,4211.498791,0.864882016,657.9745667,0.135117984,0.740392851,-0.241445712,0.167336664
1,Cy5,8,566.9412484,618.8864246,27.34308617,1.267621009,3.613725786,12.90967307,1.796543779,2,5,4456.560748,0.920982136,382.3622937,0.079017864,0.792841176,-0.242838494,-0.255607136
1,Cy5,8,583.4244295,614.1497649,39.83294683,1.257450867,2.503244201,13.84869101,1.743548387,2,5,2260.505897,0.466129825,2588.978424,0.533870175,0.783036207,-0.329957763,0.101246026
1,Cy5,9,358.8998334,867.4166192,39.43920081,5.331843117,2.881069196,36.08836677,5.193135725,1,5,2740.119795,0.533797553,2393.070956,0.466202447,-0.292653614,0.26623634,0.076888883
1,Cy5,9,314.0084833,898.3406799,43.12460575,3.699894678,2.649216655,51.41267597,3.926677067,2,5,4521.779774,0.88905258,564.2883915,0.11094742,-0.680848538,0.298659266,0.182186167
1,Cy5,9,316.2484129,908.7581743,29.32578805,1.986171801,2.724999402,22.62652947,2.737597504,2,5,3034.488156,0.598454196,2036.085955,0.401545804,-0.704336704,0.376325899,-0.212065768
1,Cy5,9,314.4355686,911.897585,30.07972034,1.88572447,2.70091026,4.528745781,2.683307332,2,5,2640.164917,0.522897664,2408.940353,0.477102336,-0.726787721,0.390167787,-0.190524845
1,Cy5,9,324.7645044,921.5286528,32.75544143,1.617818543,2.71259007,15.02920977,1.938221529,2,5,1416.632006,0.279298249,3655.355315,0.720701751,-0.697475614,0.493716502,-0.114075671
