File,Channel,Nuclei,x,y,z,Value,FWHM,SNR,NSNR,Label
1,Cy5,1,156.2087544,37.10766603,24.4100402,3.201623989,2.942983491,5.932637693,3.83692107,1
1,Cy5,1,125.00937,44.62264682,24.80512657,3.119070897,3.048610723,8.440168239,4.091976517,2
1,Cy5,2,861.3462573,115.7929871,22.80972365,5.476631712,2.863085657,7.069958996,6.969451601,1
1,Cy5,2,862.2410246,119.1070699,23.05872673,5.236018238,3.501473407,11.82776959,6.249171881,1
1,Cy5,2,800.8725238,173.4597987,24.04385364,4.22866507,3.015565037,47.37105146,4.536989326,2
1,Cy5,2,796.6025374,167.0397273,25.56056025,2.729352236,2.384666579,10.57976537,3.594773647,2
1,Cy5,3,554.4809442,274.7911885,21.92323315,5.388249879,2.639464752,51.30790051,5.741349179,1
1,Cy5,3,485.3780278,165.4363476,22.71927513,2.823629439,2.461628862,35.99835369,3.31142957,2
1,Cy5,3,476.3374592,173.7026555,22.22398625,2.30739747,3.056678051,23.05252256,2.803215659,2
1,Cy5,3,548.0870175,276.3186797,21.80489613,2.167108406,2.673313785,3.611347288,3.31527438,1
1,Cy5,4,291.1011794,288.9825459,21.18597162,7.482800067,2.845856725,97.92259349,7.797790994,2
1,Cy5,4,399.605186,324.0292476,23.59092887,4.493924221,3.386790857,73.60812353,4.899575191,1
1,Cy5,5,886.4114838,332.437045,23.59299015,5.177400312,2.751974547,52.88789997,4.748946418,4
1,Cy5,5,749.2243617,352.6935127,25.45196897,4.295119118,2.82426613,53.80299446,4.117098134,2
1,Cy5,5,871.7366808,387.7485042,24.99997381,3.532450726,2.512409443,20.40518692,3.770319085,1
1,Cy5,5,857,408,26,3.35455654,3.085267804,4.365472598,3.302227574,3
1,Cy5,5,768.9844891,358.7322393,25.86759213,3.109639178,2.49146885,33.76033368,3.766104756,2
1,Cy5,5,850.5285065,389.3586631,23.69500589,3.108025655,2.595726673,32.39788661,3.317579771,0
1,Cy5,5,861,411,27,2.261536281,3.323441425,35.62984138,2.967489464,0
1,Cy5,6,149.8309537,383.0171941,23.01307312,3.616258624,2.761053715,15.7005553,4.232750397,1
1,Cy5,6,233.818875,395.0590211,23.7144583,3.191322516,3.295924394,23.68677696,3.799046105,2
1,Cy5,7,361.7354651,468.5917321,24.59254442,6.103478771,2.849616267,5.967361632,6.323277231,1
1,Cy5,7,365.4645901,467.1804916,24.73048032,3.944652503,2.93193065,8.268209465,4.634487139,1
1,Cy5,7,444.4021319,469.6569067,25.36047933,3.708793929,2.606770771,19.10159324,3.636392506,2
1,Cy5,7,426.3545519,480.155473,23.52000709,1.882441609,2.463924106,19.50339331,2.235630359,2
1,Cy5,8,709.6734305,561.815888,23.44999482,1.744993401,2.926190343,7.998721721,2.431222009,0
1,Cy5,8,669.8964655,558.914346,22.75450745,1.47190073,2.742689185,17.86403731,2.193857965,0
1,Cy5,8,666.4636441,551.4856108,25.70836333,1.270376112,2.826371551,13.79061896,2.008637236,0
1,Cy5,8,715.5210474,566.0994651,21.91707625,1.581795638,2.695879344,36.82405782,2.15131158,0
1,Cy5,9,332.4057049,577.1058507,25.72251122,7.00255092,2.791555759,16.95263175,6.733149261,1
1,Cy5,9,293.1107888,584.4980269,25.49531413,4.185296925,3.094777434,19.32596635,4.753938606,2
1,Cy5,10,118.1584857,585.6808314,23.23760951,3.597294939,2.952890042,19.17076125,4.017972893,2
1,Cy5,10,167.5536662,559.3949729,21.37298599,2.230872461,2.890979746,10.42147307,2.650559811,1
1,Cy5,11,248.7395151,639.8975483,22.18266829,8.153116686,3.073355535,60.1754887,7.038791733,1
1,Cy5,11,293.0327808,672.510792,24.1102258,3.402760122,2.975340593,19.47495938,3.689030207,2
1,Cy5,11,277.0240215,675.9232118,22.08746251,2.812209206,2.502483636,46.21971346,3.901112878,2
1,Cy5,12,516.8714911,713.6052084,26.86329091,3.758126804,2.462849142,34.19453723,3.673523362,1
1,Cy5,12,520.3588693,707.877447,27.77557692,2.886933976,2.544277131,36.00981953,3.092565383,1
1,Cy5,12,458.4785656,801.7440163,27.83362545,2.500483144,2.598801753,25.04729436,2.578313253,2
1,Cy5,13,236.4383994,898.5729096,27.59498978,5.271171465,2.877565002,55.82384046,5.280719972,2
1,Cy5,13,266.2963523,810.0564757,29.06001238,1.805737209,2.722436898,14.40422975,2.503288335,1
1,Cy5,13,261.7507701,804.9798997,27.74823737,1.470539048,2.933203282,6.299220229,2.375908619,1
1,Cy5,14,721.7431604,796.3700051,23.54788822,5.03043766,2.726954666,54.87347887,5.589761328,2
1,Cy5,14,730.9728971,811.234505,21.65568387,5.101635927,2.792284471,47.93039364,5.833967485,1
1,Cy5,15,353.6022403,874.8245465,24.76870361,5.454081434,3.049244668,9.173388214,5.960088692,2
1,Cy5,15,400.4336568,845.2172393,24.06668439,2.101577406,2.479992134,12.29973572,2.693063035,1
1,Cy5,16,577.059593,841.0454194,22.56785116,2.311746173,2.588700562,9.220410279,3.435948361,1
1,Cy5,16,520.7026563,870.6087101,24.75148192,1.471392978,2.551955979,16.48054635,2.4938762,2
1,Cy5,17,790.2694879,907.4387166,26.50110761,5.61387344,2.845731066,34.13100869,5.498834499,2
1,Cy5,17,855.6567451,935.0404277,24.86654853,3.410034692,2.704554815,19.94243382,3.797202797,1
1,Cy5,18,989.4999409,950.796593,23.73334076,3.837877418,3.92500053,17.15053297,4.680657231,2
1,Cy5,18,951,994,24,2.665809777,4.707378767,14.99546846,3.53147877,1
1,Cy5,19,221.1260194,946.5910821,22.98087808,3.224055308,2.876654682,8.678918007,3.680794702,1
1,Cy5,19,193.0680726,975.6324753,24.12426722,2.083800676,3.201492713,35.76122029,2.882119205,2
1,a488,1,118.1400162,37.73909858,27.14050449,2.154001945,2.490675063,23.81029991,2.141404451,2
1,a488,1,123.8344566,34.17547258,26.89377461,1.459920549,1.846132545,20.20818091,1.898119724,2
1,a488,1,151.0717052,44.09238503,26.08029471,0.608166591,3.383931962,10.84739107,1.453568688,1
1,a488,1,149.8755141,30.56089209,24.08448291,0.706847723,3.204403062,3.717351975,1.238679969,1
1,a488,2,863.1974773,119.9269214,22.1864503,3.290827098,2.718218842,55.62369169,2.927144299,1
1,a488,2,796.4466146,182.6628591,25.46787352,2.293859431,3.550900367,30.01088731,2.100100908,2
1,a488,3,471.1058296,168.005048,21.5818589,4.951054198,2.835718716,43.51639933,3.383197111,2
1,a488,3,551.3072194,276.3805996,22.52811584,1.726462643,2.508625812,14.23935165,1.766394222,1
1,a488,4,394.9365826,323.1986952,22.8190333,2.175029861,2.664110065,20.43283299,2.068175253,1
1,a488,4,289.0667378,281.0060289,23.05544527,1.349980826,2.793632254,20.58140358,1.698218584,2
1,a488,4,284.8252059,294.1290862,23.10967952,1.343419795,2.488211314,8.893941014,1.572267694,2
1,a488,4,397.5116811,314.8627607,22.90725882,0.55905347,2.799964166,19.61785962,1.213866153,1
1,a488,5,858.2216286,407.5815846,26.99433126,2.061284573,3.502430618,16.90236301,1.624663606,3
1,a488,5,751.3942605,336.801274,23.66115612,1.362671718,2.921430117,13.97784866,1.419502929,2
1,a488,5,884.6384191,337.8458034,24.13786479,1.334371571,2.197042171,14.50510697,1.546778534,4
1,a488,5,869.2117251,379.5975761,26.153051,0.907250717,2.113750718,8.25069529,1.3121735,1
1,a488,6,155.5641471,376.1513818,24.03684639,1.759312969,2.375322663,22.2442647,1.636655405,1
1,a488,6,240.4437168,398.0802844,24.42064332,1.641937745,3.136742521,15.42948484,1.640033784,2
1,a488,6,232.4175448,389.3871016,23.80417482,1.480574575,2.423393707,17.62556043,1.591385135,2
1,a488,6,233.4181407,383.8249288,21.68003994,1.400361687,2.652061219,10.93158814,1.526013514,2
1,a488,6,168.4240824,370.9500415,21.71657478,1.222768272,2.480911378,7.680275001,1.341385135,1
1,a488,7,363.530509,471.7617974,24.54462703,2.651580963,3.436896987,14.57488248,1.903082887,1
1,a488,7,425.0639062,479.815357,24.12710375,0.951960951,2.866274134,5.042407833,1.291489754,2
1,a488,7,380.8486873,467.0792259,27.15865791,0.826432374,2.799010616,10.70464151,1.377699834,1
1,a488,7,440,469,23,0.592626951,2.728290267,6.031658648,1.169097286,2
1,a488,8,709.8451487,560.8423769,24.38160065,2.056597705,2.869026363,3.603386942,1.863406712,0
1,a488,8,711.023008,574.2140311,23.023159,1.924797344,2.738847442,14.37981769,1.966438109,0
1,a488,8,691.7629722,572.6702788,21.71682213,1.824620266,2.565738743,23.2503133,1.770840852,0
1,a488,8,710.7494444,566.3058403,23.8237682,1.666707468,2.956850519,7.559095677,1.73709852,0
1,a488,8,688.0443825,547.6468994,22.6356169,1.160228217,2.353164685,12.66820541,1.60537712,0
1,a488,8,697.3927423,548.2562107,23.26493354,1.117204172,2.491768001,21.84583151,1.508661133,0
1,a488,8,707.3286642,544.5611201,22.86001578,1.033517015,2.809500184,11.61700803,1.407434139,0
1,a488,9,329.7531039,576.2860748,28.24498422,2.149358131,3.263839869,24.73720103,2.270809359,1
1,a488,9,283.6444035,578.2070285,25.11158121,1.368459797,2.910399135,10.3469582,1.529344074,2
1,a488,9,289.200106,593.6441779,22.91618751,1.378594548,2.463326631,13.89363654,1.624472574,2
1,a488,10,109.226236,592.8405312,24.31540048,3.563432283,3.478761642,15.74698004,2.339063027,2
1,a488,10,182,559,21,1.537636418,2.812708773,13.42276461,1.610380856,1
1,a488,11,284.6962392,676.9349982,24.67108981,2.413835696,2.620996412,22.70580414,2.268376377,2
1,a488,11,254.7255899,647.2067386,22.13666305,1.923684516,3.593591899,16.13096323,1.823731262,1
1,a488,12,458.218453,811.222272,27.31162037,1.165705462,2.470528681,15.80386223,1.374251497,2
1,a488,12,514.6297679,702.2665777,27.17066842,1.111782999,2.727346808,6.61373207,1.325290595,1
1,a488,13,267.7855726,799.5576305,28.56626193,2.145196765,3.030029213,21.69542151,2.146187278,1
1,a488,13,239.1909503,900.9659515,26.39549224,1.664392758,3.006608563,18.06261237,1.719280917,2
1,a488,14,722.6218318,790.8102349,24.6552537,1.122949598,4.080021325,7.840280075,1.436170213,2
1,a488,14,733.0847502,827.4467661,22.17580173,0.904042266,2.783249105,8.294948108,1.380365808,1
1,a488,15,408.2355243,851.870191,23.21274759,1.7741152,2.370763453,10.49255474,1.88126973,1
1,a488,15,348.9282125,874.1838487,26.54198679,1.275208399,2.919187428,15.10856658,1.508593476,2
1,a488,16,579.4024187,826.995451,24.66346222,3.363581403,3.383443389,9.617309528,2.461934535,1
1,a488,16,515.6987752,874.8470225,21.29121298,1.779834921,2.763778075,26.79467232,1.773078338,2
1,a488,17,861.111952,932.7859672,24.65564388,1.120197578,3.761325364,5.698321701,1.344845273,1
1,a488,17,794,902,25,0.92914467,2.916139329,9.238354837,1.316806292,2
1,a488,18,950.6237349,994.3870384,23.65462532,2.933829568,3.679554547,38.69356627,2.556751986,1
1,a488,18,989.8418644,955.5415161,23.32714395,1.83851499,2.649311884,18.46135457,1.839187996,2
1,a488,19,196.8757677,988.8095583,24.58158496,1.325125245,2.685428779,23.68965457,1.791381929,2
1,a488,19,237.6577603,942.4421729,23.34199919,1.074078427,3.104858773,8.605230896,1.416476841,1
1,a594,1,120.3766339,39.35448023,27.20842903,3.744589003,2.612904932,10.653822,5.820843672,2
1,a594,1,125.9687185,35.71090353,27.16354888,3.011511393,2.879248041,13.98521283,5.114143921,2
1,a594,1,151.947618,31.16870891,23.68665717,2.456767292,3.483864817,32.10661131,4.010421836,1
1,a594,1,152.9390965,45.54092859,26.03956413,1.87846579,2.521041149,25.80464244,3.556327543,1
1,a594,2,796.1475742,182.7485793,25.1958819,8.279961903,2.78169009,81.86753672,12.9178744,2
1,a594,2,862.9202098,119.8646179,22.06655059,8.063024393,2.932259849,102.7863201,14.72644928,1
1,a594,3,471.6909957,168.8020941,21.51003621,11.60009678,2.738291832,131.4494845,17.22526882,2
1,a594,3,551.502687,277.2850932,22.12317311,4.070250771,2.87040888,54.09885439,6.215591398,1
1,a594,4,395.5243755,324.0149949,22.7005305,5.596807003,2.624700417,83.00057255,8.78025974,1
1,a594,4,290.2806703,281.5139953,22.83964448,5.179268921,2.561494928,72.90485684,7.864935065,2
1,a594,4,398.929535,315.5417894,22.49124333,2.615818979,2.666286282,64.64367385,4.796363636,1
1,a594,4,286.0126719,294.7443911,22.76957903,1.9389528,2.674534509,31.65776128,4.056103896,2
1,a594,5,858.027915,407.5636934,26.93648462,8.626487968,2.890755548,76.0622101,10.60407569,3
1,a594,5,884.2800565,337.9114384,24.17804277,3.058095965,2.545336088,73.6975643,5.161086851,4
1,a594,5,869.0894125,379.7639521,26.07580003,2.741464875,2.609183648,44.98307271,4.649199418,1
1,a594,5,751.2357829,337.4680522,24.07774604,1.931098594,2.636418911,52.42931581,3.113537118,2
1,a594,6,242.7885714,397.7670443,24.3286664,4.806063793,2.858194954,80.97369252,5.917276051,2
1,a594,6,157.5528184,375.8716349,23.90332347,4.431619047,2.491112514,96.14031481,6.367001828,1
1,a594,6,170.3937734,370.6302552,21.9781601,4.191507543,2.528255655,25.74909161,5.748171846,1
1,a594,6,234.3068968,389.3554961,23.71800916,3.136651266,2.664524027,24.09185127,4.658592322,2
1,a594,6,235.0952727,383.9655732,21.67207784,2.742380279,2.470395753,17.14060817,5.165447898,2
1,a594,7,364.3460562,471.7786456,24.38823794,7.59546886,3.266385129,129.691046,10.46266398,1
1,a594,7,395.5027909,478.6741706,23.88602326,3.783140775,2.520468338,58.15631357,5.614530777,0
1,a594,7,381.8077428,467.0751937,26.91637059,3.617408974,2.492000572,103.0226741,6.900100908,1
1,a594,7,439.2472982,469.3839022,23.22443168,2.407845363,2.722952729,24.34005445,4.020181635,2
1,a594,7,425.9134834,480.3913877,23.52341386,1.322576958,2.445234051,26.60623012,2.544904137,2
1,a594,8,691.6416036,572.7019215,21.46845333,6.242144296,2.627545296,139.574313,9.092432707,0
1,a594,8,709.8242135,560.8689584,24.54300558,6.11254907,2.619656291,7.391274894,9.842559675,0
1,a594,8,710.5738877,566.4435722,23.78381126,5.396183334,2.47862845,10.42442492,7.982732351,0
1,a594,8,711.0810561,574.2421672,23.04753948,4.506585586,2.705876961,39.92692952,8.029964449,0
