File,Channel,Nuclei,x,y,z,Value,FWHM,SNR,NSNR,Label
1,Cy5,1,400.1893993,100.7516932,26.82890265,1.251532266,3.596943719,4.079740295,2.045597484,2
1,Cy5,1,401,107,26,1.248516626,3.796179689,5.911035028,1.957861635,2
1,Cy5,1,408.8705434,15.54866352,25.20771338,1.167705141,2.945452588,9.670643568,1.945283019,1
1,Cy5,1,403.6873453,91.30125869,25.6929851,1.019294119,2.230888761,19.96196274,1.762578616,2
1,Cy5,1,423.5701399,12.74056527,23.70660308,0.872855418,3.779995616,13.72611328,1.50754717,1
1,Cy5,2,460.8302882,119.3968532,23.94083641,3.449730796,2.86829903,9.813423054,4.545610132,1
1,Cy5,2,457.61028,84.75907328,25.66540981,3.30478521,3.168945313,46.81289954,3.759370187,2
1,Cy5,2,463.3700024,116.2958582,24.4378664,1.491551277,3.653086056,31.13378165,2.670545952,1
1,Cy5,3,301.8077726,120.7261945,25.4740339,1.81521258,2.884238808,32.14668585,2.31986532,1
1,Cy5,3,309.2814012,212.8142136,26.9833773,1.463444074,3.215656843,23.14845005,2.011631466,2
1,Cy5,3,316.1021849,186.497698,26.00213464,0.991514034,2.967240552,9.099261538,1.661157025,2
1,Cy5,4,289.0898365,195.7074876,22.94748883,1.861216985,2.769772222,38.58220755,2.793460127,2
1,Cy5,4,293.1992698,183.7952105,25.44811799,1.713623415,2.533105983,15.96311305,2.384050717,2
1,Cy5,4,278.7049885,177.3001532,22.78388645,0.695793882,4.010118247,13.3246781,1.681014348,1
1,Cy5,4,276.496398,183.9024548,23.71773787,0.9532771,2.399699546,6.23203314,1.802135469,1
1,Cy5,5,357.2977831,365.2216579,23.83930695,3.259170518,3.317512145,63.07854809,3.134478996,2
1,Cy5,5,366.4815719,360.4090639,22.69899238,2.830619179,2.849932182,33.21046871,3.074468085,2
1,Cy5,5,377,366,26,1.276924368,2.456436263,18.86437074,1.824604474,1
1,Cy5,6,503.3234361,431.1977795,27.65642542,2.495264208,2.191371818,46.79297651,2.719279661,0
1,Cy5,7,249.3688509,491.2670784,21.32897818,2.754493932,2.582760357,41.76150173,2.404341016,1
1,Cy5,7,241.6918058,487.3968239,23.03523822,2.466959203,2.911801071,18.61802377,2.424479749,1
1,Cy5,7,200.0717109,585.2582483,25.30676529,2.321369359,2.688470172,11.33886458,2.269635265,2
1,Cy5,7,242.8310737,468.1289776,23.6287252,2.024512616,2.695565684,11.83415104,2.134481987,1
1,Cy5,7,239.8666878,491.9900196,24.39829371,1.77164604,2.805034316,9.655776849,2.166703961,1
1,Cy5,7,247,465,25,1.096323878,3.887366295,15.67865217,1.646453345,1
1,Cy5,8,546.5192515,476.2063265,24.63064942,2.397996966,2.041012381,19.38621667,2.727410094,1
1,Cy5,8,574.811801,486.1590758,23.24361303,1.736900525,3.614611963,3.268284669,2.326080387,2
1,Cy5,8,545.9863702,491.2432565,23.58141225,1.606985047,3.638546497,4.11927595,2.312783318,1
1,Cy5,8,577.1787461,490.2367952,23.28581012,1.556831201,3.756678747,15.39415244,2.153520701,2
1,Cy5,9,181.1355584,530.0180007,27.91378734,2.928852772,2.535161022,34.24479652,3.543383948,2
1,Cy5,9,137.1438912,543.520413,24.19885099,1.410284865,2.650384031,6.892447762,1.780368764,1
1,Cy5,9,135.797608,527.6634515,24.99640981,1.131416852,2.794058164,11.7579106,1.433839479,1
1,Cy5,10,777.0457558,654.0278536,24.09280268,1.28267218,2.973010016,16.43724662,1.889614428,1
