start_probe2,end_probe2,start_probe1,end_probe1,count,balanced
118138644,118204055,118138644,118204055,136175,0.447016
137737263,137803380,118138644,118204055,1914,0.00718331
137737263,137803380,137737263,137803380,157709,0.676701
158286571,158352358,118138644,118204055,306,0.000968317
158286571,158352358,137737263,137803380,1094,0.00395795
158286571,158352358,158286571,158352358,186224,0.568071
177676147,177739905,118138644,118204055,160,0.000599894
177676147,177739905,137737263,137803380,612,0.00262339
177676147,177739905,158286571,158352358,1472,0.00532026
177676147,177739905,177676147,177739905,188243,0.806126
180707464,180773245,118138644,118204055,105,0.000350914
180707464,180773245,137737263,137803380,330,0.00126091
180707464,180773245,158286571,158352358,1591,0.00512569
180707464,180773245,177676147,177739905,5040,0.0192385
180707464,180773245,180707464,180773245,188234,0.640465
183648104,183713699,118138644,118204055,89,0.000280587
183648104,183713699,137737263,137803380,206,0.00074251
183648104,183713699,158286571,158352358,1731,0.00526072
183648104,183713699,177676147,177739905,2807,0.0101076
183648104,183713699,180707464,180773245,9501,0.0304953
183648104,183713699,183648104,183713699,181247,0.548783
187022561,187095365,118138644,118204055,99,0.000312693
187022561,187095365,137737263,137803380,255,0.000920833
187022561,187095365,158286571,158352358,1235,0.00376029
187022561,187095365,177676147,177739905,2875,0.0103717
187022561,187095365,180707464,180773245,3861,0.0124156
187022561,187095365,183648104,183713699,6419,0.0194717
187022561,187095365,187022561,187095365,172393,0.523915
189698368,189767443,118138644,118204055,97,0.000330628
189698368,189767443,137737263,137803380,152,0.000592337
189698368,189767443,158286571,158352358,1277,0.00419594
189698368,189767443,177676147,177739905,1619,0.00630295
189698368,189767443,180707464,180773245,2436,0.00845339
189698368,189767443,183648104,183713699,4308,0.0141025
189698368,189767443,187022561,187095365,12228,0.0401034
189698368,189767443,189698368,189767443,186386,0.659664
192700456,192763963,118138644,118204055,85,0.000255882
192700456,192763963,137737263,137803380,125,0.000430218
192700456,192763963,158286571,158352358,1179,0.00342141
192700456,192763963,177676147,177739905,1570,0.00539821
192700456,192763963,180707464,180773245,2353,0.00721155
192700456,192763963,183648104,183713699,3970,0.0114779
192700456,192763963,187022561,187095365,4122,0.0119395
192700456,192763963,189698368,189767443,5560,0.0173795
192700456,192763963,192700456,192763963,203804,0.562639
196320065,196387628,118138644,118204055,67,0.000220062
196320065,196387628,137737263,137803380,167,0.000627111
196320065,196387628,158286571,158352358,679,0.00214986
196320065,196387628,177676147,177739905,1748,0.00655754
196320065,196387628,180707464,180773245,2328,0.00778465
196320065,196387628,183648104,183713699,2787,0.00879143
196320065,196387628,187022561,187095365,3807,0.0120313
